pgbench (17.9 (Debian 17.9-1.pgdg13+1))
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: prepared
number of clients: 256
number of threads: 16
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 1689711
number of failed transactions: 0 (0.000%)
latency average = 27.254 ms
latency stddev = 44.101 ms
initial connection time = 146.982 ms
tps = 9388.374315 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 9106.0 tps, lat 27.544 ms stddev 43.462, 0 failed
progress: 20.0 s, 9345.9 tps, lat 27.344 ms stddev 43.576, 0 failed
progress: 30.0 s, 8991.1 tps, lat 28.532 ms stddev 49.338, 0 failed
progress: 40.0 s, 9354.9 tps, lat 27.365 ms stddev 44.919, 0 failed
progress: 50.0 s, 9409.5 tps, lat 27.230 ms stddev 45.697, 0 failed
progress: 60.0 s, 9384.3 tps, lat 27.245 ms stddev 43.904, 0 failed
progress: 70.0 s, 9329.2 tps, lat 27.414 ms stddev 47.398, 0 failed
progress: 80.0 s, 9479.0 tps, lat 27.050 ms stddev 43.287, 0 failed
progress: 90.0 s, 9375.1 tps, lat 27.290 ms stddev 44.321, 0 failed
progress: 100.0 s, 9394.6 tps, lat 27.234 ms stddev 43.586, 0 failed
progress: 110.0 s, 9471.6 tps, lat 27.007 ms stddev 41.606, 0 failed
progress: 120.0 s, 9179.4 tps, lat 27.887 ms stddev 44.910, 0 failed
progress: 130.0 s, 9442.8 tps, lat 27.105 ms stddev 43.104, 0 failed
progress: 140.0 s, 9537.2 tps, lat 26.863 ms stddev 42.798, 0 failed
progress: 150.0 s, 9586.4 tps, lat 26.714 ms stddev 41.362, 0 failed
progress: 160.0 s, 9522.6 tps, lat 26.898 ms stddev 42.199, 0 failed
progress: 170.0 s, 9580.2 tps, lat 26.717 ms stddev 42.702, 0 failed
progress: 180.0 s, 9456.3 tps, lat 27.028 ms stddev 44.950, 0 failed
