pgbench (17.9 (Debian 17.9-1.pgdg13+1))
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: simple
number of clients: 64
number of threads: 16
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 1562343
number of failed transactions: 0 (0.000%)
latency average = 7.368 ms
latency stddev = 8.257 ms
initial connection time = 62.515 ms
tps = 8680.705438 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 8603.7 tps, lat 7.385 ms stddev 8.231, 0 failed
progress: 20.0 s, 8768.3 tps, lat 7.296 ms stddev 8.139, 0 failed
progress: 30.0 s, 8696.0 tps, lat 7.355 ms stddev 8.605, 0 failed
progress: 40.0 s, 8760.3 tps, lat 7.302 ms stddev 8.375, 0 failed
progress: 50.0 s, 8626.3 tps, lat 7.415 ms stddev 8.201, 0 failed
progress: 60.0 s, 8469.3 tps, lat 7.553 ms stddev 8.527, 0 failed
progress: 70.0 s, 8674.7 tps, lat 7.373 ms stddev 8.417, 0 failed
progress: 80.0 s, 8718.2 tps, lat 7.333 ms stddev 8.373, 0 failed
progress: 90.0 s, 8764.0 tps, lat 7.304 ms stddev 8.017, 0 failed
progress: 100.0 s, 8733.5 tps, lat 7.324 ms stddev 7.833, 0 failed
progress: 110.0 s, 8671.4 tps, lat 7.378 ms stddev 8.467, 0 failed
progress: 120.0 s, 8765.6 tps, lat 7.297 ms stddev 8.175, 0 failed
progress: 130.0 s, 8681.1 tps, lat 7.369 ms stddev 8.256, 0 failed
progress: 140.0 s, 8718.1 tps, lat 7.335 ms stddev 8.066, 0 failed
progress: 150.0 s, 8806.5 tps, lat 7.262 ms stddev 7.760, 0 failed
progress: 160.0 s, 8249.6 tps, lat 7.758 ms stddev 8.890, 0 failed
progress: 170.0 s, 8741.4 tps, lat 7.315 ms stddev 8.253, 0 failed
progress: 180.0 s, 8779.2 tps, lat 7.286 ms stddev 7.985, 0 failed
