pgbench (17.9 (Debian 17.9-1.pgdg13+1))
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: extended
number of clients: 16
number of threads: 16
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 744725
number of failed transactions: 0 (0.000%)
latency average = 3.867 ms
latency stddev = 1.360 ms
initial connection time = 3.377 ms
tps = 4137.319991 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 4218.4 tps, lat 3.791 ms stddev 1.334, 0 failed
progress: 20.0 s, 4246.9 tps, lat 3.767 ms stddev 1.325, 0 failed
progress: 30.0 s, 4126.1 tps, lat 3.877 ms stddev 1.359, 0 failed
progress: 40.0 s, 4418.6 tps, lat 3.621 ms stddev 1.184, 0 failed
progress: 50.0 s, 4215.9 tps, lat 3.795 ms stddev 1.338, 0 failed
progress: 60.0 s, 4051.8 tps, lat 3.948 ms stddev 1.402, 0 failed
progress: 70.0 s, 4001.7 tps, lat 3.997 ms stddev 1.521, 0 failed
progress: 80.0 s, 4194.1 tps, lat 3.815 ms stddev 1.367, 0 failed
progress: 90.0 s, 4041.4 tps, lat 3.958 ms stddev 1.382, 0 failed
progress: 100.0 s, 4231.2 tps, lat 3.781 ms stddev 1.309, 0 failed
progress: 110.0 s, 3998.0 tps, lat 4.002 ms stddev 1.455, 0 failed
progress: 120.0 s, 4170.0 tps, lat 3.836 ms stddev 1.293, 0 failed
progress: 130.0 s, 4012.1 tps, lat 3.988 ms stddev 1.401, 0 failed
progress: 140.0 s, 4034.7 tps, lat 3.965 ms stddev 1.357, 0 failed
progress: 150.0 s, 4105.2 tps, lat 3.897 ms stddev 1.349, 0 failed
progress: 160.0 s, 4172.3 tps, lat 3.835 ms stddev 1.301, 0 failed
progress: 170.0 s, 4019.3 tps, lat 3.980 ms stddev 1.370, 0 failed
progress: 180.0 s, 4213.8 tps, lat 3.797 ms stddev 1.358, 0 failed
