pgbench (17.9 (Debian 17.9-1.pgdg13+1), server 16.1)
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: extended
number of clients: 16
number of threads: 16
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 1211817
number of failed transactions: 0 (0.000%)
latency average = 2.375 ms
latency stddev = 1.000 ms
initial connection time = 104.098 ms
tps = 6735.892715 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 6758.3 tps, lat 2.342 ms stddev 1.001, 0 failed
progress: 20.0 s, 6856.8 tps, lat 2.333 ms stddev 0.984, 0 failed
progress: 30.0 s, 6782.6 tps, lat 2.359 ms stddev 0.999, 0 failed
progress: 40.0 s, 6782.1 tps, lat 2.359 ms stddev 1.000, 0 failed
progress: 50.0 s, 6792.5 tps, lat 2.355 ms stddev 0.992, 0 failed
progress: 60.0 s, 6758.1 tps, lat 2.367 ms stddev 0.994, 0 failed
progress: 70.0 s, 6783.5 tps, lat 2.358 ms stddev 1.004, 0 failed
progress: 80.0 s, 6765.3 tps, lat 2.365 ms stddev 1.000, 0 failed
progress: 90.0 s, 6784.2 tps, lat 2.358 ms stddev 0.967, 0 failed
progress: 100.0 s, 6674.9 tps, lat 2.397 ms stddev 1.015, 0 failed
progress: 110.0 s, 6753.0 tps, lat 2.369 ms stddev 0.999, 0 failed
progress: 120.0 s, 6530.9 tps, lat 2.449 ms stddev 1.043, 0 failed
progress: 130.0 s, 6676.4 tps, lat 2.396 ms stddev 1.036, 0 failed
progress: 140.0 s, 6707.0 tps, lat 2.385 ms stddev 0.986, 0 failed
progress: 150.0 s, 6643.6 tps, lat 2.408 ms stddev 1.006, 0 failed
progress: 160.0 s, 6736.6 tps, lat 2.375 ms stddev 0.994, 0 failed
progress: 170.0 s, 6710.2 tps, lat 2.384 ms stddev 0.978, 0 failed
progress: 180.0 s, 6685.0 tps, lat 2.393 ms stddev 0.992, 0 failed
