pgbench (17.9 (Debian 17.9-1.pgdg13+1), server 16.1)
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: simple
number of clients: 256
number of threads: 16
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 1068180
number of failed transactions: 0 (0.000%)
latency average = 42.948 ms
latency stddev = 65.141 ms
initial connection time = 851.226 ms
tps = 5957.505348 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 5331.2 tps, lat 43.638 ms stddev 68.268, 0 failed
progress: 20.0 s, 6027.5 tps, lat 42.440 ms stddev 62.019, 0 failed
progress: 30.0 s, 5954.9 tps, lat 42.958 ms stddev 66.054, 0 failed
progress: 40.0 s, 6010.0 tps, lat 42.502 ms stddev 62.201, 0 failed
progress: 50.0 s, 6057.5 tps, lat 42.405 ms stddev 67.586, 0 failed
progress: 60.0 s, 5975.0 tps, lat 42.851 ms stddev 67.098, 0 failed
progress: 70.0 s, 6059.5 tps, lat 42.234 ms stddev 61.851, 0 failed
progress: 80.0 s, 5906.4 tps, lat 43.270 ms stddev 62.585, 0 failed
progress: 90.0 s, 5956.5 tps, lat 43.016 ms stddev 68.454, 0 failed
progress: 100.0 s, 6001.1 tps, lat 42.676 ms stddev 66.167, 0 failed
progress: 110.0 s, 5963.0 tps, lat 42.947 ms stddev 62.382, 0 failed
progress: 120.0 s, 5984.6 tps, lat 42.720 ms stddev 64.707, 0 failed
progress: 130.0 s, 5889.7 tps, lat 43.534 ms stddev 68.512, 0 failed
progress: 140.0 s, 5924.2 tps, lat 43.201 ms stddev 62.802, 0 failed
progress: 150.0 s, 5945.6 tps, lat 42.994 ms stddev 63.724, 0 failed
progress: 160.0 s, 5936.1 tps, lat 43.022 ms stddev 68.511, 0 failed
progress: 170.0 s, 5944.6 tps, lat 43.167 ms stddev 64.694, 0 failed
progress: 180.0 s, 5925.9 tps, lat 43.250 ms stddev 64.124, 0 failed
