pgbench (17.9 (Debian 17.9-1.pgdg13+1), server 16.1)
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: simple
number of clients: 256
number of threads: 16
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 1220177
number of failed transactions: 0 (0.000%)
latency average = 37.582 ms
latency stddev = 57.642 ms
initial connection time = 916.931 ms
tps = 6808.856902 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 6143.5 tps, lat 37.654 ms stddev 55.002, 0 failed
progress: 20.0 s, 6823.7 tps, lat 37.443 ms stddev 56.908, 0 failed
progress: 30.0 s, 6859.2 tps, lat 37.355 ms stddev 57.114, 0 failed
progress: 40.0 s, 6750.1 tps, lat 37.896 ms stddev 56.689, 0 failed
progress: 50.0 s, 6811.5 tps, lat 37.512 ms stddev 56.681, 0 failed
progress: 60.0 s, 6842.4 tps, lat 37.460 ms stddev 55.434, 0 failed
progress: 70.0 s, 6672.1 tps, lat 38.443 ms stddev 57.139, 0 failed
progress: 80.0 s, 6774.0 tps, lat 37.760 ms stddev 58.553, 0 failed
progress: 90.0 s, 6833.6 tps, lat 37.418 ms stddev 58.554, 0 failed
progress: 100.0 s, 6717.6 tps, lat 38.134 ms stddev 62.119, 0 failed
progress: 110.0 s, 6874.6 tps, lat 37.183 ms stddev 57.285, 0 failed
progress: 120.0 s, 6858.5 tps, lat 37.418 ms stddev 59.778, 0 failed
progress: 130.0 s, 6793.8 tps, lat 37.599 ms stddev 58.337, 0 failed
progress: 140.0 s, 6752.6 tps, lat 37.879 ms stddev 60.029, 0 failed
progress: 150.0 s, 6916.8 tps, lat 37.089 ms stddev 56.464, 0 failed
progress: 160.0 s, 6840.3 tps, lat 37.374 ms stddev 57.969, 0 failed
progress: 170.0 s, 6883.5 tps, lat 37.162 ms stddev 56.351, 0 failed
progress: 180.0 s, 6845.3 tps, lat 37.490 ms stddev 56.252, 0 failed
