pgbench (17.9 (Debian 17.9-1.pgdg13+1), server 16.1)
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: extended
number of clients: 16
number of threads: 16
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 1208806
number of failed transactions: 0 (0.000%)
latency average = 2.381 ms
latency stddev = 1.014 ms
initial connection time = 97.525 ms
tps = 6719.021413 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 6660.3 tps, lat 2.379 ms stddev 1.049, 0 failed
progress: 20.0 s, 6810.9 tps, lat 2.349 ms stddev 0.981, 0 failed
progress: 30.0 s, 6808.5 tps, lat 2.350 ms stddev 0.991, 0 failed
progress: 40.0 s, 6594.5 tps, lat 2.426 ms stddev 1.061, 0 failed
progress: 50.0 s, 6717.4 tps, lat 2.382 ms stddev 1.017, 0 failed
progress: 60.0 s, 6710.4 tps, lat 2.384 ms stddev 1.007, 0 failed
progress: 70.0 s, 6730.3 tps, lat 2.377 ms stddev 1.020, 0 failed
progress: 80.0 s, 6772.3 tps, lat 2.362 ms stddev 1.006, 0 failed
progress: 90.0 s, 6764.1 tps, lat 2.365 ms stddev 0.977, 0 failed
progress: 100.0 s, 6719.2 tps, lat 2.381 ms stddev 1.024, 0 failed
progress: 110.0 s, 6735.0 tps, lat 2.375 ms stddev 1.005, 0 failed
progress: 120.0 s, 6632.5 tps, lat 2.412 ms stddev 1.021, 0 failed
progress: 130.0 s, 6755.2 tps, lat 2.368 ms stddev 1.010, 0 failed
progress: 140.0 s, 6746.1 tps, lat 2.372 ms stddev 0.988, 0 failed
progress: 150.0 s, 6735.4 tps, lat 2.375 ms stddev 1.020, 0 failed
progress: 160.0 s, 6701.5 tps, lat 2.387 ms stddev 1.021, 0 failed
progress: 170.0 s, 6733.4 tps, lat 2.376 ms stddev 1.000, 0 failed
