pgbench (17.9 (Debian 17.9-1.pgdg13+1), server 16.1)
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: extended
number of clients: 64
number of threads: 16
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 1214939
number of failed transactions: 0 (0.000%)
latency average = 9.466 ms
latency stddev = 9.650 ms
initial connection time = 272.841 ms
tps = 6758.557889 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 6571.3 tps, lat 9.464 ms stddev 9.687, 0 failed
progress: 20.0 s, 6733.4 tps, lat 9.503 ms stddev 9.699, 0 failed
progress: 30.0 s, 6768.4 tps, lat 9.453 ms stddev 9.592, 0 failed
progress: 40.0 s, 6786.6 tps, lat 9.423 ms stddev 9.521, 0 failed
progress: 50.0 s, 6720.3 tps, lat 9.527 ms stddev 9.413, 0 failed
progress: 60.0 s, 6576.0 tps, lat 9.728 ms stddev 9.979, 0 failed
progress: 70.0 s, 6726.5 tps, lat 9.514 ms stddev 9.797, 0 failed
progress: 80.0 s, 6825.2 tps, lat 9.374 ms stddev 9.470, 0 failed
progress: 90.0 s, 6827.4 tps, lat 9.372 ms stddev 9.615, 0 failed
progress: 100.0 s, 6833.5 tps, lat 9.363 ms stddev 9.201, 0 failed
progress: 110.0 s, 6772.9 tps, lat 9.441 ms stddev 9.656, 0 failed
progress: 120.0 s, 6764.2 tps, lat 9.463 ms stddev 9.970, 0 failed
progress: 130.0 s, 6773.3 tps, lat 9.448 ms stddev 9.970, 0 failed
progress: 140.0 s, 6744.1 tps, lat 9.488 ms stddev 9.517, 0 failed
progress: 150.0 s, 6767.7 tps, lat 9.447 ms stddev 9.353, 0 failed
progress: 160.0 s, 6795.8 tps, lat 9.420 ms stddev 9.662, 0 failed
progress: 170.0 s, 6770.0 tps, lat 9.452 ms stddev 9.590, 0 failed
progress: 180.0 s, 6731.9 tps, lat 9.503 ms stddev 9.959, 0 failed
