pgbench (17.9 (Debian 17.9-1.pgdg13+1), server 16.1)
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: simple
number of clients: 1
number of threads: 1
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 117452
number of failed transactions: 0 (0.000%)
latency average = 1.532 ms
latency stddev = 0.155 ms
initial connection time = 11.652 ms
tps = 652.549340 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 626.0 tps, lat 1.595 ms stddev 0.143, 0 failed
progress: 20.0 s, 628.6 tps, lat 1.590 ms stddev 0.098, 0 failed
progress: 30.0 s, 646.2 tps, lat 1.547 ms stddev 0.103, 0 failed
progress: 40.0 s, 626.8 tps, lat 1.595 ms stddev 0.085, 0 failed
progress: 50.0 s, 620.9 tps, lat 1.610 ms stddev 0.104, 0 failed
progress: 60.0 s, 626.6 tps, lat 1.596 ms stddev 0.096, 0 failed
progress: 70.0 s, 653.1 tps, lat 1.531 ms stddev 0.170, 0 failed
progress: 80.0 s, 639.5 tps, lat 1.563 ms stddev 0.115, 0 failed
progress: 90.0 s, 623.4 tps, lat 1.604 ms stddev 0.079, 0 failed
progress: 100.0 s, 628.6 tps, lat 1.590 ms stddev 0.086, 0 failed
progress: 110.0 s, 642.9 tps, lat 1.555 ms stddev 0.099, 0 failed
progress: 120.0 s, 637.0 tps, lat 1.569 ms stddev 0.113, 0 failed
progress: 130.0 s, 623.8 tps, lat 1.603 ms stddev 0.165, 0 failed
progress: 140.0 s, 630.9 tps, lat 1.585 ms stddev 0.090, 0 failed
progress: 150.0 s, 667.1 tps, lat 1.499 ms stddev 0.172, 0 failed
progress: 160.0 s, 769.6 tps, lat 1.299 ms stddev 0.080, 0 failed
progress: 170.0 s, 690.0 tps, lat 1.449 ms stddev 0.185, 0 failed
progress: 180.0 s, 764.1 tps, lat 1.308 ms stddev 0.093, 0 failed
