pgbench (17.9 (Debian 17.9-1.pgdg13+1), server 16.1)
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: extended
number of clients: 256
number of threads: 16
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 1183193
number of failed transactions: 0 (0.000%)
latency average = 38.764 ms
latency stddev = 60.402 ms
initial connection time = 892.405 ms
tps = 6600.604924 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 5966.4 tps, lat 38.817 ms stddev 58.210, 0 failed
progress: 20.0 s, 6512.3 tps, lat 39.226 ms stddev 59.261, 0 failed
progress: 30.0 s, 6468.4 tps, lat 39.611 ms stddev 62.416, 0 failed
progress: 40.0 s, 6461.4 tps, lat 39.590 ms stddev 62.117, 0 failed
progress: 50.0 s, 6580.5 tps, lat 38.866 ms stddev 62.078, 0 failed
progress: 60.0 s, 6625.0 tps, lat 38.823 ms stddev 60.324, 0 failed
progress: 70.0 s, 6649.1 tps, lat 38.476 ms stddev 60.634, 0 failed
progress: 80.0 s, 6670.9 tps, lat 38.344 ms stddev 54.239, 0 failed
progress: 90.0 s, 6523.7 tps, lat 39.145 ms stddev 62.564, 0 failed
progress: 100.0 s, 6597.4 tps, lat 38.866 ms stddev 59.095, 0 failed
progress: 110.0 s, 6668.8 tps, lat 38.257 ms stddev 62.888, 0 failed
progress: 120.0 s, 6662.0 tps, lat 38.580 ms stddev 60.138, 0 failed
progress: 130.0 s, 6650.0 tps, lat 38.435 ms stddev 60.662, 0 failed
progress: 140.0 s, 6666.5 tps, lat 38.325 ms stddev 59.400, 0 failed
progress: 150.0 s, 6657.2 tps, lat 38.558 ms stddev 58.970, 0 failed
progress: 160.0 s, 6602.2 tps, lat 38.749 ms stddev 63.817, 0 failed
progress: 170.0 s, 6628.3 tps, lat 38.637 ms stddev 61.194, 0 failed
progress: 180.0 s, 6704.8 tps, lat 38.218 ms stddev 58.024, 0 failed
