pgbench (17.9 (Debian 17.9-1.pgdg13+1), server 16.1)
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: extended
number of clients: 16
number of threads: 16
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 1001079
number of failed transactions: 0 (0.000%)
latency average = 2.875 ms
latency stddev = 1.062 ms
initial connection time = 95.936 ms
tps = 5564.303898 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 5516.8 tps, lat 2.872 ms stddev 1.147, 0 failed
progress: 20.0 s, 5613.6 tps, lat 2.850 ms stddev 1.053, 0 failed
progress: 30.0 s, 5631.4 tps, lat 2.841 ms stddev 1.031, 0 failed
progress: 40.0 s, 5622.8 tps, lat 2.845 ms stddev 1.067, 0 failed
progress: 50.0 s, 5598.7 tps, lat 2.857 ms stddev 1.040, 0 failed
progress: 60.0 s, 5584.6 tps, lat 2.865 ms stddev 1.043, 0 failed
progress: 70.0 s, 5603.5 tps, lat 2.855 ms stddev 1.062, 0 failed
progress: 80.0 s, 5568.7 tps, lat 2.873 ms stddev 1.051, 0 failed
progress: 90.0 s, 5433.5 tps, lat 2.945 ms stddev 1.092, 0 failed
progress: 100.0 s, 5369.7 tps, lat 2.979 ms stddev 1.114, 0 failed
progress: 110.0 s, 5603.7 tps, lat 2.855 ms stddev 1.056, 0 failed
progress: 120.0 s, 5588.8 tps, lat 2.863 ms stddev 1.024, 0 failed
progress: 130.0 s, 5509.1 tps, lat 2.904 ms stddev 1.066, 0 failed
progress: 140.0 s, 5570.8 tps, lat 2.872 ms stddev 1.052, 0 failed
progress: 150.0 s, 5565.4 tps, lat 2.875 ms stddev 1.044, 0 failed
progress: 160.0 s, 5548.2 tps, lat 2.883 ms stddev 1.071, 0 failed
progress: 170.0 s, 5626.8 tps, lat 2.843 ms stddev 1.048, 0 failed
