pgbench (17.9 (Debian 17.9-1.pgdg13+1), server 16.1)
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: prepared
number of clients: 256
number of threads: 16
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 1084880
number of failed transactions: 0 (0.000%)
latency average = 42.266 ms
latency stddev = 64.252 ms
initial connection time = 843.782 ms
tps = 6050.675602 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 5397.3 tps, lat 42.663 ms stddev 66.484, 0 failed
progress: 20.0 s, 6072.2 tps, lat 42.134 ms stddev 62.891, 0 failed
progress: 30.0 s, 6106.3 tps, lat 41.968 ms stddev 64.341, 0 failed
progress: 40.0 s, 6098.6 tps, lat 41.956 ms stddev 60.824, 0 failed
progress: 50.0 s, 5982.7 tps, lat 42.833 ms stddev 67.899, 0 failed
progress: 60.0 s, 6038.5 tps, lat 42.366 ms stddev 66.841, 0 failed
progress: 70.0 s, 5981.1 tps, lat 42.742 ms stddev 68.105, 0 failed
progress: 80.0 s, 6135.7 tps, lat 41.798 ms stddev 62.908, 0 failed
progress: 90.0 s, 6098.8 tps, lat 41.975 ms stddev 64.192, 0 failed
progress: 100.0 s, 5961.0 tps, lat 42.952 ms stddev 65.387, 0 failed
progress: 110.0 s, 6061.3 tps, lat 42.183 ms stddev 61.117, 0 failed
progress: 120.0 s, 6037.9 tps, lat 42.443 ms stddev 65.223, 0 failed
progress: 130.0 s, 6109.6 tps, lat 41.847 ms stddev 63.932, 0 failed
progress: 140.0 s, 6112.3 tps, lat 41.988 ms stddev 64.417, 0 failed
progress: 150.0 s, 6093.7 tps, lat 41.870 ms stddev 59.555, 0 failed
progress: 160.0 s, 6068.7 tps, lat 42.247 ms stddev 62.489, 0 failed
progress: 170.0 s, 6085.6 tps, lat 42.059 ms stddev 63.944, 0 failed
progress: 180.0 s, 6021.9 tps, lat 42.530 ms stddev 65.251, 0 failed
