pgbench (17.9 (Debian 17.9-1.pgdg13+1), server 16.1)
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: simple
number of clients: 1
number of threads: 1
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 152748
number of failed transactions: 0 (0.000%)
latency average = 1.178 ms
latency stddev = 0.136 ms
initial connection time = 11.970 ms
tps = 848.654701 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 821.0 tps, lat 1.216 ms stddev 0.239, 0 failed
progress: 20.0 s, 862.3 tps, lat 1.159 ms stddev 0.110, 0 failed
progress: 30.0 s, 829.5 tps, lat 1.205 ms stddev 0.096, 0 failed
progress: 40.0 s, 879.3 tps, lat 1.137 ms stddev 0.049, 0 failed
progress: 50.0 s, 903.4 tps, lat 1.107 ms stddev 0.046, 0 failed
progress: 60.0 s, 882.9 tps, lat 1.132 ms stddev 0.092, 0 failed
progress: 70.0 s, 729.5 tps, lat 1.370 ms stddev 0.105, 0 failed
progress: 80.0 s, 825.3 tps, lat 1.212 ms stddev 0.132, 0 failed
progress: 90.0 s, 903.9 tps, lat 1.106 ms stddev 0.066, 0 failed
progress: 100.0 s, 916.7 tps, lat 1.091 ms stddev 0.055, 0 failed
progress: 110.0 s, 915.2 tps, lat 1.092 ms stddev 0.051, 0 failed
progress: 120.0 s, 842.0 tps, lat 1.187 ms stddev 0.146, 0 failed
progress: 130.0 s, 717.9 tps, lat 1.393 ms stddev 0.064, 0 failed
progress: 140.0 s, 714.7 tps, lat 1.399 ms stddev 0.067, 0 failed
progress: 150.0 s, 856.2 tps, lat 1.168 ms stddev 0.103, 0 failed
progress: 160.0 s, 879.9 tps, lat 1.136 ms stddev 0.059, 0 failed
progress: 170.0 s, 886.5 tps, lat 1.128 ms stddev 0.069, 0 failed
progress: 180.0 s, 908.5 tps, lat 1.100 ms stddev 0.047, 0 failed
