pgbench (17.9 (Debian 17.9-1.pgdg13+1), server 16.1)
transaction type: <builtin: TPC-B (sort of)>
scaling factor: 10
query mode: simple
number of clients: 256
number of threads: 16
maximum number of tries: 1
duration: 180 s
number of transactions actually processed: 1047642
number of failed transactions: 0 (0.000%)
latency average = 43.794 ms
latency stddev = 66.236 ms
initial connection time = 831.566 ms
tps = 5842.681337 (without initial connection time)

starting vacuum...end.
progress: 10.0 s, 5287.2 tps, lat 43.911 ms stddev 66.772, 0 failed
progress: 20.0 s, 5860.6 tps, lat 43.660 ms stddev 67.911, 0 failed
progress: 30.0 s, 5837.0 tps, lat 44.036 ms stddev 68.093, 0 failed
progress: 40.0 s, 5835.7 tps, lat 43.792 ms stddev 67.932, 0 failed
progress: 50.0 s, 5785.9 tps, lat 44.298 ms stddev 67.643, 0 failed
progress: 60.0 s, 5879.0 tps, lat 43.541 ms stddev 65.699, 0 failed
progress: 70.0 s, 5858.3 tps, lat 43.672 ms stddev 67.772, 0 failed
progress: 80.0 s, 5856.4 tps, lat 43.752 ms stddev 62.837, 0 failed
progress: 90.0 s, 5906.7 tps, lat 43.262 ms stddev 66.803, 0 failed
progress: 100.0 s, 5914.8 tps, lat 43.396 ms stddev 61.596, 0 failed
progress: 110.0 s, 5859.6 tps, lat 43.595 ms stddev 65.988, 0 failed
progress: 120.0 s, 5737.5 tps, lat 44.666 ms stddev 64.717, 0 failed
progress: 130.0 s, 5802.5 tps, lat 44.036 ms stddev 69.078, 0 failed
progress: 140.0 s, 5812.9 tps, lat 44.118 ms stddev 67.194, 0 failed
progress: 150.0 s, 5894.9 tps, lat 43.436 ms stddev 66.383, 0 failed
progress: 160.0 s, 5855.5 tps, lat 43.695 ms stddev 65.002, 0 failed
progress: 170.0 s, 5880.4 tps, lat 43.554 ms stddev 64.527, 0 failed
progress: 180.0 s, 5874.6 tps, lat 43.556 ms stddev 65.520, 0 failed
